id,pid,name,description,unit,time,score,error,uncertainty,feature_id,metric_id,observation_id
36,b6eade13-12b3-4c6d-9042-747c0180eadf,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,8812.58782551021,N/A,0,38,1,1
37,8fb4ef61-2020-4139-a3b8-a0eaa78f188c,jensenshannon,"",percent,2012-04-08 00:00:00+00,0.03132293613546969,N/A,0,39,2,1
38,e1c64043-b5c7-49c2-a156-c2a5fbb823f2,jensenshannon,"",percent,2012-04-08 00:00:00+00,0.1848613593305543,N/A,0,41,2,1
39,aef75632-3987-4991-9edb-4ff66e4193ec,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.8944512755102041,N/A,0,42,1,1
40,d3af921c-d881-43af-875e-bfdae8e51a09,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.5092091836734689,N/A,0,43,1,1
41,72bc067a-4a41-4ec6-912f-e0fdbb6c524e,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.003137755102040729,N/A,0,44,1,1
42,f8b1f47c-d183-4a68-b937-b34969f1597f,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,1368.1625255102044,N/A,0,45,1,1
43,c528d4c1-113c-414b-ad49-af49228e0a32,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,1.5916071428571423,N/A,0,46,1,1
44,00d0a5fc-a66c-424e-8d0b-b27ab9aef2fe,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,1.5855612244897959,N/A,0,47,1,1
45,0321fca7-4737-44fb-8954-6b404d383801,jensenshannon,"",percent,2012-04-08 00:00:00+00,0,N/A,0,48,2,1
46,be11540a-651e-4a00-a2d1-39e42043d6d7,jensenshannon,"",percent,2012-04-08 00:00:00+00,0,N/A,0,49,2,1
47,5db5e46e-505b-47ff-a797-abcafddd32ba,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.13456632653061185,N/A,0,50,1,1
48,2f28825f-c53a-4123-a7c5-664e30e701b1,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.0006377551020407823,N/A,0,51,1,1
49,74bdd220-d5fa-48fe-8dec-9fa20fd9db84,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,7.952423469387755,N/A,0,52,1,1
50,077fd9ab-9417-4c99-b6e4-d9d729f79617,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.77375,N/A,0,53,1,1
51,a2b3b07b-40da-4e83-88dc-686d24609d1f,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.013225898907905076,N/A,0,54,1,1
